Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Age Group,Most_Used_Platform_trans,Addiction_Level,Stress_Level,Stress_Level_byRandomForest
225,19,Female,Undergraduate,Japan,3.8,LINE,No,7.9,8,Single,1,3,18-20,3,Low,Low,Low
226,21,Male,Graduate,Italy,5.5,Instagram,Yes,6.8,6,Single,3,7,21-22,1,Medium,Medium,Medium
227,20,Female,Undergraduate,South Korea,5.2,KakaoTalk,Yes,6.5,6,In Relationship,3,6,18-20,2,Medium,Medium,Medium
228,22,Male,Graduate,Russia,4.8,VKontakte,No,7.2,7,Single,2,5,21-22,8,Low,Low,Low
229,19,Female,Undergraduate,USA,7.0,TikTok,Yes,5.8,4,In Relationship,4,9,18-20,6,Medium,Medium,High
230,21,Male,Graduate,UK,5.5,Instagram,Yes,6.7,6,Single,3,7,21-22,1,Medium,Medium,Medium
231,20,Female,Undergraduate,Australia,4.7,Facebook,No,7.4,7,In Relationship,2,5,18-20,0,Low,Low,Low
232,22,Male,Graduate,Germany,4.0,Instagram,No,7.9,8,Single,1,4,21-22,1,Low,Low,Low
233,19,Female,Undergraduate,Japan,3.5,LINE,No,8.0,8,Single,1,3,18-20,3,Low,Low,Low
234,21,Male,Graduate,Italy,5.7,TikTok,Yes,6.5,5,In Relationship,3,8,21-22,6,Medium,Medium,Medium
235,20,Female,Undergraduate,South Korea,5.0,KakaoTalk,Yes,6.8,6,Single,3,6,18-20,2,Medium,Medium,Medium
236,22,Male,Graduate,Russia,4.5,VKontakte,No,7.4,7,In Relationship,2,5,21-22,8,Low,Low,Low
237,19,Female,Undergraduate,USA,6.8,Instagram,Yes,5.9,4,Single,4,9,18-20,1,Medium,Medium,High
238,21,Male,Graduate,UK,5.6,Facebook,Yes,6.6,6,In Relationship,3,7,21-22,0,Medium,Medium,Medium
239,20,Female,Undergraduate,Australia,4.6,Instagram,No,7.3,7,Single,2,5,18-20,1,Low,Low,Low
240,22,Male,Graduate,Germany,4.1,Facebook,No,7.7,8,In Relationship,2,4,21-22,0,Low,Low,Low
241,19,Female,Undergraduate,Japan,3.7,LINE,No,7.8,8,Single,1,3,18-20,3,Low,Low,Low
242,21,Male,Graduate,Italy,5.4,Instagram,Yes,6.7,5,Single,3,7,21-22,1,Medium,Medium,Medium
243,20,Female,Undergraduate,South Korea,5.1,KakaoTalk,Yes,6.6,6,In Relationship,3,6,18-20,2,Medium,Medium,Medium
244,22,Male,Graduate,Russia,4.7,VKontakte,No,7.3,7,Single,2,5,21-22,8,Low,Low,Low
245,19,Female,Undergraduate,USA,6.9,TikTok,Yes,5.7,4,In Relationship,4,9,18-20,6,Medium,Medium,High
246,21,Male,Graduate,UK,5.7,Instagram,Yes,6.4,6,Single,3,7,21-22,1,Medium,Medium,Medium
247,20,Female,Undergraduate,Australia,4.8,Facebook,No,7.2,7,In Relationship,2,5,18-20,0,Low,Low,Low
248,22,Male,Graduate,Germany,3.9,Instagram,No,7.8,8,Single,1,4,21-22,1,Low,Low,Low
249,19,Female,Undergraduate,Japan,3.6,LINE,No,8.1,8,Single,1,3,18-20,3,Low,Low,Low
250,21,Male,Graduate,Italy,5.6,TikTok,Yes,6.6,5,In Relationship,3,8,21-22,6,Medium,Medium,Medium
251,20,Female,Undergraduate,South Korea,4.9,KakaoTalk,Yes,6.9,6,Single,3,6,18-20,2,Medium,Medium,Medium
252,22,Male,Graduate,Russia,4.6,VKontakte,No,7.5,7,In Relationship,2,5,21-22,8,Low,Low,Low
253,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.8,4,Single,4,9,18-20,1,Medium,Medium,Medium
254,21,Male,Graduate,UK,5.4,Facebook,Yes,6.5,6,In Relationship,3,7,21-22,0,Medium,Medium,Medium
255,20,Female,Undergraduate,Australia,4.4,Instagram,No,7.4,7,Single,2,5,18-20,1,Low,Low,Low
256,22,Male,Graduate,Germany,4.0,Facebook,No,7.6,8,In Relationship,2,4,21-22,0,Low,Low,Low
257,19,Female,Undergraduate,Japan,3.4,LINE,No,8.2,8,Single,1,3,18-20,3,Low,Low,Low
258,21,Male,Graduate,Italy,5.3,Instagram,Yes,6.8,5,Single,3,7,21-22,1,Medium,Medium,Medium
259,20,Female,Undergraduate,South Korea,5.0,KakaoTalk,Yes,6.7,6,In Relationship,3,6,18-20,2,Medium,Medium,Medium
260,22,Male,Graduate,Russia,4.4,VKontakte,No,7.6,7,Single,2,5,21-22,8,Low,Low,Low
261,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.6,4,In Relationship,4,9,18-20,6,Medium,Medium,High
262,21,Male,Graduate,UK,5.3,Instagram,Yes,6.3,6,Single,3,7,21-22,1,Medium,Medium,Medium
263,20,Female,Undergraduate,Australia,4.3,Facebook,No,7.5,7,In Relationship,2,5,18-20,0,Low,Low,Low
264,22,Male,Graduate,Germany,3.8,Instagram,No,7.7,8,Single,1,4,21-22,1,Low,Low,Low
265,19,Female,Undergraduate,Japan,3.3,LINE,No,8.3,8,Single,1,3,18-20,3,Low,Low,Low
266,21,Male,Graduate,Italy,5.2,TikTok,Yes,6.9,5,In Relationship,3,8,21-22,6,Medium,Medium,Medium
267,20,Female,Undergraduate,South Korea,4.8,KakaoTalk,Yes,7.0,6,Single,3,6,18-20,2,Medium,Medium,Medium
268,22,Male,Graduate,Russia,4.3,VKontakte,No,7.7,7,In Relationship,2,5,21-22,8,Low,Low,Low
269,19,Female,Undergraduate,USA,6.4,Instagram,Yes,5.7,4,Single,4,9,18-20,1,Medium,Medium,High
270,21,Male,Graduate,UK,5.2,Facebook,Yes,6.4,6,In Relationship,3,7,21-22,0,Medium,Medium,Medium
271,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.3,7,Single,2,5,18-20,1,Low,Low,Low
272,22,Male,Graduate,Germany,3.7,Facebook,No,7.8,8,In Relationship,1,4,21-22,0,Low,Low,Low
273,19,Female,Undergraduate,Japan,3.2,LINE,No,8.4,8,Single,1,3,18-20,3,Low,Low,Low
274,21,Male,Graduate,Italy,5.4,Instagram,Yes,6.7,5,Single,3,7,21-22,1,Medium,Medium,Medium
275,20,Female,Undergraduate,South Korea,4.7,KakaoTalk,Yes,7.1,6,In Relationship,3,6,18-20,2,Medium,Medium,Medium
276,22,Male,Graduate,Russia,4.2,VKontakte,No,7.8,7,Single,2,5,21-22,8,Low,Low,Low
277,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.5,4,In Relationship,4,9,18-20,6,High,Medium,High
278,21,Male,Graduate,UK,5.1,Instagram,Yes,6.5,6,Single,3,7,21-22,1,Medium,Medium,Medium
279,20,Female,Undergraduate,Australia,4.4,Facebook,No,7.4,7,In Relationship,2,5,18-20,0,Low,Low,Low
280,22,Male,Graduate,Germany,3.6,Instagram,No,7.9,8,Single,1,4,21-22,1,Low,Low,Low
281,19,Female,Undergraduate,Japan,3.1,LINE,No,8.5,8,Single,1,3,18-20,3,Low,Low,Low
282,21,Male,Graduate,Italy,5.3,TikTok,Yes,6.8,5,In Relationship,3,8,21-22,6,Medium,Medium,Medium
283,20,Female,Undergraduate,South Korea,4.6,KakaoTalk,Yes,7.2,6,Single,3,6,18-20,2,Medium,Medium,Medium
284,22,Male,Graduate,Russia,4.1,VKontakte,No,7.9,7,In Relationship,2,5,21-22,8,Low,Low,Low
285,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.4,4,Single,4,9,18-20,1,High,Medium,Medium
286,21,Male,Graduate,UK,5.0,Facebook,Yes,6.6,6,In Relationship,3,7,21-22,0,Medium,Medium,Medium
287,20,Female,Undergraduate,Australia,4.3,Instagram,No,7.5,7,Single,2,5,18-20,1,Low,Low,Low
288,22,Male,Graduate,Germany,3.5,Facebook,No,8.0,8,In Relationship,1,4,21-22,0,Low,Low,Low
289,19,Female,Undergraduate,Japan,3.0,LINE,No,8.6,8,Single,1,3,18-20,3,Low,Low,Low
290,21,Male,Graduate,Italy,5.2,Instagram,Yes,6.9,5,Single,3,7,21-22,1,Medium,Medium,Medium
291,20,Female,Undergraduate,South Korea,4.5,KakaoTalk,Yes,7.3,6,In Relationship,3,6,18-20,2,Medium,Medium,Medium
292,22,Male,Graduate,Russia,4.0,VKontakte,No,8.0,7,Single,2,5,21-22,8,Low,Low,Low
293,19,Female,Undergraduate,USA,6.8,TikTok,Yes,5.3,4,In Relationship,4,9,18-20,6,High,Medium,High
294,21,Male,Graduate,UK,4.9,Instagram,Yes,6.7,6,Single,3,7,21-22,1,Medium,Medium,Medium
295,20,Female,Undergraduate,Australia,4.2,Facebook,No,7.6,7,In Relationship,2,5,18-20,0,Low,Low,Low
296,22,Male,Graduate,Germany,3.4,Instagram,No,8.1,8,Single,1,4,21-22,1,Low,Low,Low
297,19,Female,Undergraduate,Japan,2.9,LINE,No,8.7,8,Single,1,3,18-20,3,Low,Low,Low
298,21,Male,Graduate,Italy,5.1,TikTok,Yes,7.0,5,In Relationship,3,8,21-22,6,Medium,Medium,Medium
299,20,Female,Undergraduate,South Korea,4.4,KakaoTalk,Yes,7.4,6,Single,3,6,18-20,2,Medium,Medium,Medium
300,22,Male,Graduate,Russia,3.9,VKontakte,No,8.1,7,In Relationship,2,5,21-22,8,Low,Low,Low
301,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.2,4,Single,4,9,18-20,1,High,Medium,High
302,21,Male,Graduate,UK,4.8,Facebook,Yes,6.8,6,In Relationship,3,7,21-22,0,Medium,Medium,Medium
303,20,Female,Undergraduate,Australia,4.1,Instagram,No,7.7,7,Single,2,5,18-20,1,Low,Low,Low
304,22,Male,Graduate,Germany,3.3,Facebook,No,8.2,8,In Relationship,1,4,21-22,0,Low,Low,Low
305,19,Female,Undergraduate,Japan,2.8,LINE,No,8.8,8,Single,1,3,18-20,3,Low,Low,Low
306,21,Male,Graduate,Italy,5.0,Instagram,Yes,7.1,5,Single,3,7,21-22,1,Medium,Medium,Medium
307,20,Female,Undergraduate,South Korea,4.3,KakaoTalk,Yes,7.5,6,In Relationship,3,6,18-20,2,Medium,Medium,Medium
308,22,Male,Graduate,Russia,3.8,VKontakte,No,8.2,7,Single,2,5,21-22,8,Low,Low,Low
309,19,Female,Undergraduate,USA,7.0,TikTok,Yes,5.1,4,In Relationship,4,9,18-20,6,High,Medium,High
310,21,Male,Graduate,UK,4.7,Instagram,Yes,6.9,6,Single,3,7,21-22,1,Medium,Medium,Medium
311,20,Female,Undergraduate,Australia,4.0,Facebook,No,7.8,7,In Relationship,2,5,18-20,0,Low,Low,Low
312,22,Male,Graduate,Germany,3.2,Instagram,No,8.3,8,Single,1,4,21-22,1,Low,Low,Low
313,19,Female,Undergraduate,Japan,2.7,LINE,No,8.9,8,Single,1,3,18-20,3,Low,Low,Low
314,21,Male,Graduate,Italy,4.9,TikTok,Yes,7.2,5,In Relationship,3,8,21-22,6,Medium,Medium,Medium
315,20,Female,Undergraduate,South Korea,4.2,KakaoTalk,Yes,7.6,6,Single,3,6,18-20,2,Medium,Medium,Medium
316,22,Male,Graduate,Russia,3.7,VKontakte,No,8.3,7,In Relationship,2,5,21-22,8,Low,Low,Low
317,19,Female,Undergraduate,USA,7.1,Instagram,Yes,5.0,4,Single,4,9,18-20,1,High,Medium,High
318,21,Male,Graduate,UK,4.6,Facebook,Yes,7.0,6,In Relationship,3,7,21-22,0,Medium,Medium,Medium
319,20,Female,Undergraduate,Australia,3.9,Instagram,No,7.9,7,Single,2,5,18-20,1,Low,Low,Low
320,22,Male,Graduate,Germany,3.1,Facebook,No,8.4,8,In Relationship,1,4,21-22,0,Low,Low,Low
321,19,Female,Undergraduate,Spain,5.2,Instagram,Yes,6.8,6,Single,3,7,18-20,1,Medium,Medium,Medium
322,21,Male,Graduate,Denmark,4.1,Facebook,No,7.8,8,In Relationship,2,4,21-22,0,Low,Low,Low
323,20,Female,Undergraduate,Ireland,5.0,Instagram,Yes,7.0,7,Single,3,6,18-20,1,Medium,Medium,Medium
324,22,Male,Graduate,India,5.8,WhatsApp,Yes,6.5,5,In Relationship,4,8,21-22,10,Medium,Medium,High
325,19,Female,Undergraduate,Switzerland,4.0,Instagram,No,7.9,8,Single,2,4,18-20,1,Low,Low,Low
326,21,Male,Graduate,Turkey,5.5,Instagram,Yes,6.7,6,Single,3,7,21-22,1,Medium,Medium,Medium
327,20,Female,Undergraduate,USA,6.8,TikTok,Yes,5.5,5,In Relationship,4,9,18-20,6,High,Medium,High
328,22,Male,Graduate,Mexico,5.6,WhatsApp,Yes,6.6,6,Single,3,7,21-22,10,Medium,Medium,Medium
329,19,Female,Undergraduate,France,4.5,Instagram,No,7.5,7,In Relationship,2,5,18-20,1,Low,Low,Low
330,21,Male,Graduate,Canada,5.3,Instagram,Yes,6.9,6,Single,3,7,21-22,1,Medium,Medium,Medium
331,20,Female,Undergraduate,Spain,5.1,TikTok,Yes,6.7,6,Single,3,7,18-20,6,Medium,Medium,Medium
332,22,Male,Graduate,Denmark,3.9,Facebook,No,7.9,8,In Relationship,2,4,21-22,0,Low,Low,Low
333,19,Female,Undergraduate,Ireland,4.8,Instagram,Yes,7.1,7,Single,3,6,18-20,1,Medium,Medium,Medium
334,21,Male,Graduate,India,5.9,WhatsApp,Yes,6.4,5,In Relationship,4,8,21-22,10,Medium,Medium,High
335,20,Female,Undergraduate,Switzerland,3.8,Instagram,No,8.0,8,Single,2,4,18-20,1,Low,Low,Low
336,22,Male,Graduate,Turkey,5.4,TikTok,Yes,6.8,6,Single,3,7,21-22,6,Medium,Medium,Medium
337,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.4,5,In Relationship,4,9,18-20,1,High,Medium,High
338,21,Male,Graduate,Mexico,5.7,WhatsApp,Yes,6.5,6,Single,3,7,21-22,10,Medium,Medium,Medium
339,20,Female,Undergraduate,France,4.4,Instagram,No,7.6,7,In Relationship,2,5,18-20,1,Low,Low,Low
340,22,Male,Graduate,Canada,5.2,TikTok,Yes,7.0,6,Single,3,7,21-22,6,Medium,Medium,Medium
341,19,Female,Undergraduate,Spain,5.0,Instagram,Yes,6.9,6,Single,3,7,18-20,1,Medium,Medium,Medium
342,21,Male,Graduate,Denmark,3.8,Facebook,No,8.0,8,In Relationship,2,4,21-22,0,Low,Low,Low
343,20,Female,Undergraduate,Ireland,4.7,TikTok,Yes,7.2,7,Single,3,6,18-20,6,Medium,Medium,Medium
344,22,Male,Graduate,India,6.0,WhatsApp,Yes,6.3,5,In Relationship,4,8,21-22,10,Medium,Medium,High
345,19,Female,Undergraduate,Switzerland,3.7,Instagram,No,8.1,8,Single,2,4,18-20,1,Low,Low,Low
346,21,Male,Graduate,Turkey,5.3,Instagram,Yes,6.9,6,Single,3,7,21-22,1,Medium,Medium,Medium
347,20,Female,Undergraduate,USA,7.0,TikTok,Yes,5.3,5,In Relationship,4,9,18-20,6,High,Medium,High
348,22,Male,Graduate,Mexico,5.8,WhatsApp,Yes,6.4,6,Single,3,7,21-22,10,Medium,Medium,Medium
349,19,Female,Undergraduate,France,4.3,Instagram,No,7.7,7,In Relationship,2,5,18-20,1,Low,Low,Low
350,21,Male,Graduate,Canada,5.1,Instagram,Yes,7.1,6,Single,3,7,21-22,1,Medium,Medium,Medium
351,20,Female,Undergraduate,Spain,4.9,TikTok,Yes,7.0,6,Single,3,7,18-20,6,Medium,Medium,Medium
352,22,Male,Graduate,Denmark,3.7,Facebook,No,8.1,8,In Relationship,2,4,21-22,0,Low,Low,Low
353,19,Female,Undergraduate,Ireland,4.6,Instagram,Yes,7.3,7,Single,3,6,18-20,1,Medium,Medium,Medium
354,21,Male,Graduate,India,6.1,WhatsApp,Yes,6.2,5,In Relationship,4,8,21-22,10,Medium,Medium,High
355,20,Female,Undergraduate,Switzerland,3.6,Instagram,No,8.2,8,Single,2,4,18-20,1,Low,Low,Low
356,22,Male,Graduate,Turkey,5.2,TikTok,Yes,7.0,6,Single,3,7,21-22,6,Medium,Medium,Medium
357,19,Female,Undergraduate,USA,7.1,Instagram,Yes,5.2,5,In Relationship,4,9,18-20,1,High,Medium,High
358,21,Male,Graduate,Mexico,5.9,WhatsApp,Yes,6.3,6,Single,3,7,21-22,10,Medium,Medium,Medium
359,20,Female,Undergraduate,France,4.2,Instagram,No,7.8,7,In Relationship,2,5,18-20,1,Low,Low,Low
360,22,Male,Graduate,Canada,5.0,TikTok,Yes,7.2,6,Single,3,7,21-22,6,Medium,Medium,Medium
361,19,Female,Undergraduate,Spain,4.8,Instagram,Yes,7.1,6,Single,3,7,18-20,1,Medium,Medium,Medium
362,21,Male,Graduate,Denmark,3.6,Facebook,No,8.2,8,In Relationship,2,4,21-22,0,Low,Low,Low
363,20,Female,Undergraduate,Ireland,4.5,TikTok,Yes,7.4,7,Single,3,6,18-20,6,Medium,Medium,Medium
364,22,Male,Graduate,India,6.2,WhatsApp,Yes,6.1,5,In Relationship,4,8,21-22,10,Medium,Medium,High
365,19,Female,Undergraduate,Switzerland,3.5,Instagram,No,8.3,8,Single,2,4,18-20,1,Low,Low,Low
366,21,Male,Graduate,Turkey,5.1,Instagram,Yes,7.1,6,Single,3,7,21-22,1,Medium,Medium,Medium
367,20,Female,Undergraduate,USA,7.2,TikTok,Yes,5.1,5,In Relationship,4,9,18-20,6,High,Medium,High
368,22,Male,Graduate,Mexico,6.0,WhatsApp,Yes,6.2,6,Single,3,7,21-22,10,Medium,Medium,Medium
369,19,Female,Undergraduate,France,4.1,Instagram,No,7.9,7,In Relationship,2,5,18-20,1,Low,Low,Low
370,21,Male,Graduate,Canada,4.9,Instagram,Yes,7.3,6,Single,3,7,21-22,1,Medium,Medium,Medium
371,20,Female,Undergraduate,Spain,4.7,TikTok,Yes,7.2,6,Single,3,7,18-20,6,Medium,Medium,Medium
372,22,Male,Graduate,Denmark,3.5,Facebook,No,8.3,8,In Relationship,2,4,21-22,0,Low,Low,Low
373,19,Female,Undergraduate,Ireland,4.4,Instagram,Yes,7.5,7,Single,3,6,18-20,1,Medium,Medium,Medium
374,21,Male,Graduate,India,6.3,WhatsApp,Yes,6.0,5,In Relationship,4,8,21-22,10,Medium,Medium,High
375,20,Female,Undergraduate,Switzerland,3.4,Instagram,No,8.4,8,Single,2,4,18-20,1,Low,Low,Low
376,22,Male,Graduate,Turkey,5.0,TikTok,Yes,7.2,6,Single,3,7,21-22,6,Medium,Medium,Medium
377,19,Female,Undergraduate,USA,7.3,Instagram,Yes,5.0,5,In Relationship,4,9,18-20,1,High,Medium,High
378,21,Male,Graduate,Mexico,6.1,WhatsApp,Yes,6.1,6,Single,3,7,21-22,10,Medium,Medium,Medium
379,20,Female,Undergraduate,France,4.0,Instagram,No,8.0,7,In Relationship,2,5,18-20,1,Low,Low,Low
380,22,Male,Graduate,Canada,4.8,TikTok,Yes,7.4,6,Single,3,7,21-22,6,Medium,Medium,Medium
381,19,Female,Undergraduate,Spain,4.6,Instagram,Yes,7.3,6,Single,3,7,18-20,1,Medium,Medium,Medium
382,21,Male,Graduate,Denmark,3.4,Facebook,No,8.4,8,In Relationship,2,4,21-22,0,Low,Low,Low
383,20,Female,Undergraduate,Ireland,4.3,TikTok,Yes,7.6,7,Single,3,6,18-20,6,Medium,Medium,Medium
384,22,Male,Graduate,India,6.4,WhatsApp,Yes,5.9,5,In Relationship,4,8,21-22,10,Medium,Medium,High
385,19,Female,Undergraduate,Switzerland,3.3,Instagram,No,8.5,8,Single,2,4,18-20,1,Low,Low,Low
386,21,Male,Graduate,Turkey,4.9,Instagram,Yes,7.3,6,Single,3,7,21-22,1,Medium,Medium,Medium
387,20,Female,Undergraduate,USA,7.4,TikTok,Yes,4.9,5,In Relationship,4,9,18-20,6,High,High,High
388,22,Male,Graduate,Mexico,6.2,WhatsApp,Yes,6.0,6,Single,3,7,21-22,10,Medium,Medium,Medium
389,19,Female,Undergraduate,France,3.9,Instagram,No,8.1,7,In Relationship,2,5,18-20,1,Low,Low,Low
390,21,Male,Graduate,Canada,4.7,Instagram,Yes,7.5,6,Single,3,7,21-22,1,Medium,Medium,Medium
391,20,Female,Undergraduate,Spain,4.5,TikTok,Yes,7.4,6,Single,3,7,18-20,6,Medium,Medium,Medium
392,22,Male,Graduate,Denmark,3.3,Facebook,No,8.5,8,In Relationship,2,4,21-22,0,Low,Low,Low
393,19,Female,Undergraduate,Ireland,4.2,Instagram,Yes,7.7,7,Single,3,6,18-20,1,Medium,Medium,Medium
394,21,Male,Graduate,India,6.5,WhatsApp,Yes,5.8,5,In Relationship,4,8,21-22,10,Medium,Medium,High
395,20,Female,Undergraduate,Switzerland,3.2,Instagram,No,8.6,8,Single,2,4,18-20,1,Low,Low,Low
396,22,Male,Graduate,Turkey,4.8,TikTok,Yes,7.4,6,Single,3,7,21-22,6,Medium,Medium,Medium
397,19,Female,Undergraduate,USA,7.5,Instagram,Yes,4.8,5,In Relationship,4,9,18-20,1,High,High,High
398,21,Male,Graduate,Mexico,6.3,WhatsApp,Yes,5.9,6,Single,3,7,21-22,10,Medium,Medium,Medium
399,20,Female,Undergraduate,France,3.8,Instagram,No,8.2,7,In Relationship,2,5,18-20,1,Low,Low,Low
400,22,Male,Graduate,Canada,4.6,TikTok,Yes,7.6,6,Single,3,7,21-22,6,Medium,Medium,Medium
401,19,Female,Undergraduate,Spain,4.4,Instagram,Yes,7.5,6,Single,3,7,18-20,1,Medium,Medium,Medium
402,21,Male,Graduate,Denmark,3.2,Facebook,No,8.6,8,In Relationship,2,4,21-22,0,Low,Low,Low
403,20,Female,Undergraduate,Ireland,4.1,TikTok,Yes,7.8,7,Single,3,6,18-20,6,Medium,Medium,Medium
404,22,Male,Graduate,India,6.6,WhatsApp,Yes,5.7,5,In Relationship,4,8,21-22,10,Medium,Medium,High
405,19,Female,Undergraduate,Switzerland,3.1,Instagram,No,8.7,8,Single,2,4,18-20,1,Low,Low,Low
406,21,Male,Graduate,Turkey,4.7,Instagram,Yes,7.5,6,Single,3,7,21-22,1,Medium,Medium,Medium
407,20,Female,Undergraduate,USA,7.6,TikTok,Yes,4.7,5,In Relationship,4,9,18-20,6,High,High,High
408,22,Male,Graduate,Mexico,6.4,WhatsApp,Yes,5.8,6,Single,3,7,21-22,10,Medium,Medium,Medium
409,19,Female,Undergraduate,France,3.7,Instagram,No,8.3,7,In Relationship,2,5,18-20,1,Low,Low,Low
410,21,Male,Graduate,Canada,4.5,Instagram,Yes,7.7,6,Single,3,7,21-22,1,Medium,Medium,Medium
411,20,Female,Undergraduate,Spain,4.3,TikTok,Yes,7.6,6,Single,3,7,18-20,6,Medium,Medium,Medium
412,22,Male,Graduate,Denmark,3.1,Facebook,No,8.7,8,In Relationship,2,4,21-22,0,Low,Low,Low
413,19,Female,Undergraduate,Ireland,4.0,Instagram,Yes,7.9,7,Single,3,6,18-20,1,Medium,Medium,Medium
414,21,Male,Graduate,India,6.7,WhatsApp,Yes,5.6,5,In Relationship,4,8,21-22,10,Medium,Medium,High
415,20,Female,Undergraduate,Switzerland,3.0,Instagram,No,8.8,8,Single,2,4,18-20,1,Low,Low,Low
416,22,Male,Graduate,Turkey,4.6,TikTok,Yes,7.6,6,Single,3,7,21-22,6,Medium,Medium,Medium
417,19,Female,Undergraduate,USA,7.7,Instagram,Yes,4.6,5,In Relationship,4,9,18-20,1,High,High,High
418,21,Male,Graduate,Mexico,6.5,WhatsApp,Yes,5.7,6,Single,3,7,21-22,10,Medium,Medium,Medium
419,20,Female,Undergraduate,France,3.6,Instagram,No,8.4,7,In Relationship,2,5,18-20,1,Low,Low,Low
420,22,Male,Graduate,Canada,4.4,TikTok,Yes,7.8,6,Single,3,7,21-22,6,Medium,Medium,Medium
421,19,Female,Undergraduate,Spain,4.2,Instagram,Yes,7.7,6,Single,3,7,18-20,1,Medium,Medium,Medium
422,21,Male,Graduate,Denmark,3.0,Facebook,No,8.8,8,In Relationship,2,4,21-22,0,Low,Low,Low
423,20,Female,Undergraduate,Ireland,3.9,TikTok,Yes,8.0,7,Single,3,6,18-20,6,Medium,Medium,Medium
424,22,Male,Graduate,India,6.8,WhatsApp,Yes,5.5,5,In Relationship,4,8,21-22,10,High,Medium,High
425,19,Female,Undergraduate,Switzerland,2.9,Instagram,No,8.9,8,Single,2,4,18-20,1,Low,Low,Low
426,21,Male,Graduate,Turkey,4.5,Instagram,Yes,7.7,6,Single,3,7,21-22,1,Medium,Medium,Medium
427,20,Female,Undergraduate,USA,7.8,TikTok,Yes,4.5,5,In Relationship,4,9,18-20,6,High,High,High
428,22,Male,Graduate,Mexico,6.6,WhatsApp,Yes,5.6,6,Single,3,7,21-22,10,Medium,Medium,Medium
429,19,Female,Undergraduate,France,3.5,Instagram,No,8.5,7,In Relationship,2,5,18-20,1,Low,Low,Low
430,21,Male,Graduate,Canada,4.3,Instagram,Yes,7.9,6,Single,3,7,21-22,1,Medium,Medium,Medium
431,20,Female,Undergraduate,Spain,4.1,TikTok,Yes,7.8,6,Single,3,7,18-20,6,Medium,Medium,Medium
432,22,Male,Graduate,Denmark,2.9,Facebook,No,8.9,8,In Relationship,2,4,21-22,0,Low,Low,Low
433,19,Female,Undergraduate,Ireland,3.8,Instagram,Yes,8.1,7,Single,3,6,18-20,1,Medium,Medium,Medium
434,21,Male,Graduate,India,6.9,WhatsApp,Yes,5.4,5,In Relationship,4,8,21-22,10,High,Medium,High
435,20,Female,Undergraduate,Switzerland,2.8,Instagram,No,9.0,8,Single,2,4,18-20,1,Low,Low,Low
436,22,Male,Graduate,Turkey,4.4,TikTok,Yes,7.8,6,Single,3,7,21-22,6,Medium,Medium,Medium
437,19,Female,Undergraduate,USA,7.9,Instagram,Yes,4.4,5,In Relationship,4,9,18-20,1,High,High,High
438,21,Male,Graduate,Mexico,6.7,WhatsApp,Yes,5.5,6,Single,3,7,21-22,10,High,Medium,Medium
439,20,Female,Undergraduate,France,3.4,Instagram,No,8.6,7,In Relationship,2,5,18-20,1,Low,Low,Low
440,22,Male,Graduate,Canada,4.2,TikTok,Yes,8.0,6,Single,3,7,21-22,6,Medium,Medium,Medium
441,19,Female,Undergraduate,Spain,4.0,Instagram,Yes,7.9,6,Single,3,7,18-20,1,Medium,Medium,Medium
442,21,Male,Graduate,Denmark,2.8,Facebook,No,9.0,8,In Relationship,2,4,21-22,0,Low,Low,Low
443,20,Female,Undergraduate,Ireland,3.7,TikTok,Yes,8.2,7,Single,3,6,18-20,6,Medium,Medium,Medium
444,22,Male,Graduate,India,7.0,WhatsApp,Yes,5.3,5,In Relationship,4,8,21-22,10,High,Medium,High
445,19,Female,Undergraduate,Switzerland,2.7,Instagram,No,9.1,8,Single,2,4,18-20,1,Low,Low,Low
446,21,Male,Graduate,Turkey,4.3,Instagram,Yes,7.9,6,Single,3,7,21-22,1,Medium,Medium,Medium
447,20,Female,Undergraduate,USA,8.0,TikTok,Yes,4.3,5,In Relationship,4,9,18-20,6,High,High,High
448,22,Male,Graduate,Mexico,6.8,WhatsApp,Yes,5.4,6,Single,3,7,21-22,10,High,Medium,Medium
449,19,Female,Undergraduate,France,3.3,Instagram,No,8.7,7,In Relationship,2,5,18-20,1,Low,Low,Low
450,21,Male,Graduate,Canada,4.1,Instagram,Yes,8.1,6,Single,3,7,21-22,1,Medium,Medium,Medium
451,20,Female,Undergraduate,Spain,3.9,TikTok,Yes,8.0,6,Single,3,7,18-20,6,Medium,Medium,Medium
452,22,Male,Graduate,Denmark,2.7,Facebook,No,9.1,8,In Relationship,2,4,21-22,0,Low,Low,Low
453,19,Female,Undergraduate,Ireland,3.6,Instagram,Yes,8.3,7,Single,3,6,18-20,1,Medium,Medium,Medium
454,21,Male,Graduate,India,7.1,WhatsApp,Yes,5.2,5,In Relationship,4,8,21-22,10,High,Medium,High
